did,snippet_id,var_name,cognitive_complexity,value,pl,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL,MI,MIMS,MISEI,MISM,McCC,NL,NLE,NII,NOI,CD,CLOC,DLOC,TCD,TCLOC,LLOC,LOC,NOS,NUMPAR
10,2,10_duration,2,18.931,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,28,19,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,9,9,0,0
10,20,10_duration,0,29.783,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,23,13,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,6,0,0
10,21,10_duration,2,18.325,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,25,17,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,10,10,0,0
10,22,10_duration,2,16.635,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,27,17,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,11,11,0,0
10,23,10_duration,0,19.75,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,20,13,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,5,0,0
10,24,10_duration,0,23.377,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,23,13,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,6,0,0
10,25,10_duration,0,11.2125,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,18,12,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,5,0,0
10,26,10_duration,0,6.6945,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,14,12,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,4,0,0
10,27,10_duration,0,9.203,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,18,12,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,5,0,0
10,28,10_duration,0,7.786,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,14,12,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,4,0,0
10,29,10_duration,0,11.925,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,13,11,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,4,0,0
10,3,10_duration,2,9.727,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,20,15,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,6,7,0,0
10,30,10_duration,0,11.168,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,8,8,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,3,0,0
10,31,10_duration,4,23.869,C++,1,1,3,1,1,1,13,9,NA,NA,NA,NA,38,18,NA,NA,0,0,0,0,3,2,2,0,1,0,0,0,0,0,10,13,0,0
10,32,10_duration,4,20.1515,C++,1,1,3,1,1,1,13,9,NA,NA,NA,NA,38,18,NA,NA,0,0,0,0,3,2,2,0,1,0,0,0,0,0,10,13,0,0
10,33,10_duration,1,27.643,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,25,16,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,7,7,0,0
10,34,10_duration,1,21.96,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,25,16,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,7,7,0,0
10,35,10_duration,1,22.366,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,28,15,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,7,7,0,0
10,36,10_duration,1,20.573,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,28,15,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,7,7,0,0
10,37,10_duration,0,22.691,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,17,13,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,5,0,0
10,38,10_duration,0,13.5065,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,17,13,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,5,0,0
10,39,10_duration,0,22.538,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,18,15,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,4,0,0
10,4,10_duration,2,18.184,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,20,15,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,7,8,0,0
10,40,10_duration,0,9.936,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,18,15,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,4,0,0
10,41,10_duration,0,22.199,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,18,15,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,4,0,0
10,42,10_duration,0,12.446,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,18,15,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,4,0,0
10,43,10_duration,0,23.7175,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,14,12,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,4,0,0
10,44,10_duration,0,22.145,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,15,13,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,4,0,0
10,45,10_duration,0,21.501,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,26,20,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,5,0,0
10,46,10_duration,0,19.516,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,26,20,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,5,0,0
10,47,10_duration,0,30.003,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,31,20,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,6,0,0
10,48,10_duration,0,28.175,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,33,21,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,6,0,0
10,49,10_duration,1,20.593,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,21,15,NA,NA,0,0,0,0,2,0,0,0,1,0,0,0,0,0,5,7,0,0
10,5,10_duration,2,10.727,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,11,9,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,5,6,0,0
10,50,10_duration,2,16.3975,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,34,19,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,11,13,0,0
10,51,10_duration,3,35.5975,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,41,23,NA,NA,0,0,0,0,4,0,0,0,1,0,0,0,0,0,7,9,0,0
10,52,10_duration,8,25.431,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,61,25,NA,NA,0,0,0,0,4,2,2,0,1,0,0,0,0,0,20,22,0,0
10,53,10_duration,1,23.424,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,31,17,NA,NA,0,0,0,0,2,0,0,0,1,0,0,0,0,0,7,9,0,0
10,54,10_duration,2,22.389,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,39,19,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,13,15,0,0
10,55,10_duration,2,21.883,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,24,18,NA,NA,0,0,0,0,3,1,1,0,1,0,0,0,0,0,8,9,0,0
